example_id,clean_customer,spotify,customer_created_at,gold_label
1,Please make #Apk for India .please please please please please plz plz plz plz,"@807272 Hey there! We hear you. Rest assured, your feedback will be passed on to the right folks /NQ",Tue Nov 28 23:05:29 +0000 2017,AVAILABILITY_REGION
2,That link doesn't work in my country. LOL!,@267842 Hmm. Can you try checking out https://t.co/rUSSisWd8O instead? Let us know how it goes /NH,Wed Nov 22 18:26:01 +0000 2017,AVAILABILITY_REGION
3,C’mon this for real? Whatever happened to having your entire music collection online? 😕,"@150781 Hey Jude! How many tracks would you say you have in Songs (roughly)? e.g. 100, 1000, 5000, or more? /CO",Sat Nov 11 18:13:11 +0000 2017,PLAYLIST_LIBRARY
4,don’t do me so dirty,@463557 Hi there! We have more info about this here: https://t.co/WSjJgGAmPy. Let us know if you have any other questions /NY,Fri Nov 03 06:53:10 +0000 2017,OTHER_UNCLEAR
5,Spotify keeps crashing my PC any suggestions lads?,@418953 Hey Stephen! That's not cool. What operating system and Spotify version are you running? We'll see what we can suggest /MV,Thu Oct 26 15:29:37 +0000 2017,APP_CRASH_PERFORMANCE
6,it wont let me DM as your acount isn't following me,@398314 You should be able to DM us by clicking on this link: /NS https://t.co/ldFdZRiNAt,Wed Oct 18 22:51:54 +0000 2017,OTHER_UNCLEAR
7,4 Fire TVs.,@301345 1: Hi again! We're afraid that it isn't possible to change the names of the devices that appear on your Available Devices.,Sat Oct 07 08:02:58 +0000 2017,CONNECTIVITY_SYNC
8,"When I go to Programs and click “Uninstall,” it shows me the same message as when I try to open Spotify. That it’s missing ‘api-ms-win-core-processthreads-|1-1-1.dll’",@255311 Hmm. Could you DM us your account's username or email address? We'll check behind the scenes /RE https://t.co/ldFdZRiNAt,Sun Dec 03 13:48:14 +0000 2017,APP_CRASH_PERFORMANCE
9,"I've cleared ""recent searches"" at least half a dozen times, hoping that more recent searches would appear...but the older searches keep reappearing, and the newest searches don't. Very frustrating, making the whole process feel like it's pointless. Hope you'll fix!",@545428 Hey there! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /CG,Wed Nov 15 21:25:11 +0000 2017,BUG_REPORT
10,Thank you! 😍✨,"@236471 You're welcome! If you other questions, you can always reach us here. Have a great day 😁 /SY",Fri Dec 01 21:58:36 +0000 2017,FEEDBACK
11,"""Activity"" seems to be in permanent ""loading"" mode, so nothing's coming up. How to fix this? (Windows Vista Basic. PC/Laptop.) Thanks if you can help.","@762220 Hey Tez! We're afraid your operating system's no longer supported, but we can try a few troubleshooting steps. Can you let us know the version of your Spotify app? /RA",Mon Nov 20 04:28:39 +0000 2017,BUG_REPORT
12,"hi,, i decativated facebook. please can i change my login account","@598685 Hi James, help's here! Can you confirm your account's email address via DM? We'll see what we can do /GT https://t.co/ldFdZRiNAt",Mon Nov 06 12:35:08 +0000 2017,ACCOUNT_LOGIN
13,you did away with recommended new releases under the discover tab on my desktop app again?,@159390 Hey Matt! Have you checked out Release Radar? It's a playlist of your recommended new releases available in Browse. Let us know /J,Fri Nov 10 21:33:09 +0000 2017,FEATURE_REQUEST
14,Hey I restored my iPhone today and all my saved albums are showing like this. No tracks in there. What to do?,"@156318 Hey Matt, that's not cool! Could you DM us your account’s email address and username? We’ll take a look under the hood /TI https://t.co/ldFdZRiNAt",Fri Nov 24 20:28:41 +0000 2017,PLAYLIST_LIBRARY
15,"What are the requirements for the student discount? Do I have to be at least half time in a degree seeking program, &amp; what schools are eligible?","@248478 Hi! The discount is available to students who are actively in term at an accredited college/university. You can check your eligibility for the discount at https://t.co/xbU7d8wpTJ, or have your student info verified at https://t.co/jW58UKCI5L. Any other questions, just shout /LM",Sat Dec 02 18:18:46 +0000 2017,BILLING_SUBSCRIPTION
16,I used the wrong email when I signed up for the student subscription I was charged in my card but it says I'm still on free account,@393342 Got it. Can you DM us your account's username and email address? We'll take a look backstage /JX https://t.co/ldFdZRiNAt,Tue Oct 24 17:22:06 +0000 2017,BILLING_SUBSCRIPTION
